"time_steps","peach-sweep-10 - _step","peach-sweep-10 - _step__MIN","peach-sweep-10 - _step__MAX","peach-sweep-10 - r_mean","peach-sweep-10 - r_mean__MIN","peach-sweep-10 - r_mean__MAX","exalted-sweep-9 - _step","exalted-sweep-9 - _step__MIN","exalted-sweep-9 - _step__MAX","exalted-sweep-9 - r_mean","exalted-sweep-9 - r_mean__MIN","exalted-sweep-9 - r_mean__MAX","balmy-sweep-8 - _step","balmy-sweep-8 - _step__MIN","balmy-sweep-8 - _step__MAX","balmy-sweep-8 - r_mean","balmy-sweep-8 - r_mean__MIN","balmy-sweep-8 - r_mean__MAX","still-sweep-7 - _step","still-sweep-7 - _step__MIN","still-sweep-7 - _step__MAX","still-sweep-7 - r_mean","still-sweep-7 - r_mean__MIN","still-sweep-7 - r_mean__MAX","graceful-sweep-6 - _step","graceful-sweep-6 - _step__MIN","graceful-sweep-6 - _step__MAX","graceful-sweep-6 - r_mean","graceful-sweep-6 - r_mean__MIN","graceful-sweep-6 - r_mean__MAX","lively-sweep-5 - _step","lively-sweep-5 - _step__MIN","lively-sweep-5 - _step__MAX","lively-sweep-5 - r_mean","lively-sweep-5 - r_mean__MIN","lively-sweep-5 - r_mean__MAX","astral-sweep-4 - _step","astral-sweep-4 - _step__MIN","astral-sweep-4 - _step__MAX","astral-sweep-4 - r_mean","astral-sweep-4 - r_mean__MIN","astral-sweep-4 - r_mean__MAX","light-sweep-3 - _step","light-sweep-3 - _step__MIN","light-sweep-3 - _step__MAX","light-sweep-3 - r_mean","light-sweep-3 - r_mean__MIN","light-sweep-3 - r_mean__MAX","eternal-sweep-2 - _step","eternal-sweep-2 - _step__MIN","eternal-sweep-2 - _step__MAX","eternal-sweep-2 - r_mean","eternal-sweep-2 - r_mean__MIN","eternal-sweep-2 - r_mean__MAX","hardy-sweep-1 - _step","hardy-sweep-1 - _step__MIN","hardy-sweep-1 - _step__MAX","hardy-sweep-1 - r_mean","hardy-sweep-1 - r_mean__MIN","hardy-sweep-1 - r_mean__MAX"
"5500","275","275","275","26.848960383071713","26.848960383071713","26.848960383071713","275","275","275","30.01727044444772","30.01727044444772","30.01727044444772","275","275","275","24.58179893372618","24.58179893372618","24.58179893372618","275","275","275","25.010991296255614","25.010991296255614","25.010991296255614","275","275","275","27.448268308476806","27.448268308476806","27.448268308476806","275","275","275","24.12575604171414","24.12575604171414","24.12575604171414","275","275","275","29.90958519854525","29.90958519854525","29.90958519854525","275","275","275","28.830400231445946","28.830400231445946","28.830400231445946","275","275","275","28.978758349920312","28.978758349920312","28.978758349920312","275","275","275","25.649011037757877","25.649011037757877","25.649011037757877"
"6000","300","300","300","31.156975823623203","31.156975823623203","31.156975823623203","300","300","300","28.1326947907246","28.1326947907246","28.1326947907246","300","300","300","22.04600548473778","22.04600548473778","22.04600548473778","300","300","300","30.154530443555323","30.154530443555323","30.154530443555323","300","300","300","25.215877742788653","25.215877742788653","25.215877742788653","300","300","300","26.391268398039678","26.391268398039678","26.391268398039678","300","300","300","23.596832941542893","23.596832941542893","23.596832941542893","300","300","300","24.71900135471942","24.71900135471942","24.71900135471942","300","300","300","32.83636219916481","32.83636219916481","32.83636219916481","300","300","300","28.777838618209934","28.777838618209934","28.777838618209934"
"6500","325","325","325","28.045727855587025","28.045727855587025","28.045727855587025","325","325","325","29.958053624954967","29.958053624954967","29.958053624954967","325","325","325","25.407428865664183","25.407428865664183","25.407428865664183","325","325","325","30.122849337427272","30.122849337427272","30.122849337427272","325","325","325","26.643643647344273","26.643643647344273","26.643643647344273","325","325","325","27.715769252686517","27.715769252686517","27.715769252686517","325","325","325","28.57156835218204","28.57156835218204","28.57156835218204","325","325","325","28.37081366425955","28.37081366425955","28.37081366425955","325","325","325","34.88496626817979","34.88496626817979","34.88496626817979","325","325","325","27.699891783074094","27.699891783074094","27.699891783074094"
"7000","350","350","350","28.698547678523664","28.698547678523664","28.698547678523664","350","350","350","26.245144577019214","26.245144577019214","26.245144577019214","350","350","350","29.305619449361476","29.305619449361476","29.305619449361476","350","350","350","29.04239112631214","29.04239112631214","29.04239112631214","350","350","350","31.35632377603586","31.35632377603586","31.35632377603586","350","350","350","31.86781842134337","31.86781842134337","31.86781842134337","350","350","350","30.186786459601564","30.186786459601564","30.186786459601564","350","350","350","31.84089034022082","31.84089034022082","31.84089034022082","350","350","350","30.31614925352583","30.31614925352583","30.31614925352583","350","350","350","33.82206759880959","33.82206759880959","33.82206759880959"
"7500","375","375","375","30.5419517372011","30.5419517372011","30.5419517372011","375","375","375","24.599014760825607","24.599014760825607","24.599014760825607","375","375","375","29.93505066922132","29.93505066922132","29.93505066922132","375","375","375","33.35794218082502","33.35794218082502","33.35794218082502","375","375","375","27.105396639571254","27.105396639571254","27.105396639571254","375","375","375","27.322272635784238","27.322272635784238","27.322272635784238","375","375","375","31.350353942788125","31.350353942788125","31.350353942788125","375","375","375","26.346931796855014","26.346931796855014","26.346931796855014","375","375","375","26.620211971441712","26.620211971441712","26.620211971441712","375","375","375","31.995331916441984","31.995331916441984","31.995331916441984"
"8000","400","400","400","24.412008444216113","24.412008444216113","24.412008444216113","400","400","400","26.661118643845388","26.661118643845388","26.661118643845388","400","400","400","30.68889719745128","30.68889719745128","30.68889719745128","400","400","400","29.11644723294021","29.11644723294021","29.11644723294021","400","400","400","29.15238153117369","29.15238153117369","29.15238153117369","400","400","400","27.882587738064707","27.882587738064707","27.882587738064707","400","400","400","30.263981256770887","30.263981256770887","30.263981256770887","400","400","400","29.11307940829653","29.11307940829653","29.11307940829653","400","400","400","27.536263603239263","27.536263603239263","27.536263603239263","400","400","400","31.649385164708622","31.649385164708622","31.649385164708622"
"8500","425","425","425","30.191013872291236","30.191013872291236","30.191013872291236","425","425","425","28.713688894201887","28.713688894201887","28.713688894201887","425","425","425","26.33297821762379","26.33297821762379","26.33297821762379","425","425","425","29.787044982552608","29.787044982552608","29.787044982552608","425","425","425","34.01318264795576","34.01318264795576","34.01318264795576","425","425","425","31.770569955788623","31.770569955788623","31.770569955788623","425","425","425","29.34452359448895","29.34452359448895","29.34452359448895","425","425","425","34.436019344324876","34.436019344324876","34.436019344324876","425","425","425","31.44136486352893","31.44136486352893","31.44136486352893","425","425","425","31.283391759080395","31.283391759080395","31.283391759080395"
"9000","450","450","450","31.99239525563135","31.99239525563135","31.99239525563135","450","450","450","34.24393519928676","34.24393519928676","34.24393519928676","450","450","450","27.761630688934062","27.761630688934062","27.761630688934062","450","450","450","28.50579438438871","28.50579438438871","28.50579438438871","450","450","450","34.850397503419785","34.850397503419785","34.850397503419785","450","450","450","32.13957490873327","32.13957490873327","32.13957490873327","450","450","450","28.448718675019986","28.448718675019986","28.448718675019986","450","450","450","35.82800488188501","35.82800488188501","35.82800488188501","450","450","450","34.11880612470165","34.11880612470165","34.11880612470165","450","450","450","31.134844781956975","31.134844781956975","31.134844781956975"
"9500","475","475","475","30.48744306498205","30.48744306498205","30.48744306498205","475","475","475","35.568980899587515","35.568980899587515","35.568980899587515","475","475","475","33.170064802997274","33.170064802997274","33.170064802997274","475","475","475","35.09181635889565","35.09181635889565","35.09181635889565","475","475","475","39.590251271554564","39.590251271554564","39.590251271554564","475","475","475","28.733368407647276","28.733368407647276","28.733368407647276","475","475","475","32.30858815069257","32.30858815069257","32.30858815069257","475","475","475","32.49074044886055","32.49074044886055","32.49074044886055","475","475","475","36.82181999663903","36.82181999663903","36.82181999663903","475","475","475","35.00603433168105","35.00603433168105","35.00603433168105"
"10000","500","500","500","31.54047189719641","31.54047189719641","31.54047189719641","500","500","500","36.49916111219931","36.49916111219931","36.49916111219931","500","500","500","31.21130892157613","31.21130892157613","31.21130892157613","500","500","500","41.15786136707133","41.15786136707133","41.15786136707133","500","500","500","37.398976593138606","37.398976593138606","37.398976593138606","500","500","500","31.77556325858149","31.77556325858149","31.77556325858149","500","500","500","33.72377605526851","33.72377605526851","33.72377605526851","500","500","500","27.403104077904146","27.403104077904146","27.403104077904146","500","500","500","33.041039683956974","33.041039683956974","33.041039683956974","500","500","500","38.80963428046422","38.80963428046422","38.80963428046422"
